descriptionIlabel;;;;;;;;;;;;
Международное рейтинговое агентство Fitch Ratings улучшило прогноз по российскому энергетическому сектору на &quot;стабильный&quot; с &quot;негативного&quot;. Об этом сообщает &quot;Интерфакс&quot; со ссылкой на данные агентства.  &quot;Мы ...I4;;;;;
Международное рейтинговое агентство Fitch повысило долгосрочный рейтинг дефолта эмитента  &quot;Мосэнерго&quot; с BB+ до BBB- со стабильным прогнозом. Об этом сообщает ТАСС со ссылкой на пресс-релиз агентства.  Как стало известно, ...I4;;;;;;;;;;
Международное рейтинговое агентство Fitch подтвердило долгосрочный рейтинг дефолта эмитента (РДЭ) Москвы в иностранной и местной валюте на уровне «BBB-», прогноз — стабильный, сообщается в релизе агентства.I3;;;;;;;;;;;;
Рейтинговое агентство Fitch подтвердило долгосрочный рейтинг Франции в иностранной и в национальной валюте на уровне &quot;АА&quot; со &quot;стабильным&quot; прогнозом.  &quot;Рейтинги Франции отражают успешную и диверсифицированную ...I3;;;;;;;
Рейтинговое агентство Fitch подтвердило долгосрочный рейтинг Франции в иностранной и национальной валюте на уровне АА со &quot;стабильным&quot; прогнозом.  &quot;Рейтинги Франции отражают успешную и диверсифицированную экономику ...I3;;;;;;;;;
Международное рейтинговое агентство Fitch Ratings в среду подтвердило рейтинги Сбербанка, Внешэкономбанка, Газпромбанка и Россельхозбанка, сообщается в пресс-релизе агентства.I3;;;;;;;;;;;;
"Международное рейтинговое агентство Fitch подтвердило долгосрочный рейтинги дефолта эмитента (РДЭ) Сбербанка в иностранной и национальной валютах на уровне «BBB-». <br/><a href=""https://russian.rt.com/business/news/339635-fitch-reiting-sberbank-gazprombank?utm_source=rss&utm_medium=rss&utm_campaign=RSS"">Читать далее</a>I3";;;;;;;;;;;;
Международное рейтинговое агентство Fitch подтвердило долгосрочные рейтинги дефолта эмитента (РДЭ) Сбербанка в иностранной и национальной валютах на уровне &quot;BBB-&quot;, РДЭ Газпромбанка в иностранной и национальной валютах на уровне ...I3;;;;;;;;;;
Международное рейтинговое агентство Fitch Ratings подтвердило долгосрочные рейтинги в национальной и иностранной валютах Сбербанка и Внешэкономбанка (ВЭБ) на уровне ВВВ-.  Кроме того, агентство подтвердило долгосрочный рейтинг Газпромбанка ...I3;;;;;;;;;;;;
"Международное рейтинговое агентство Fitch во вторник, 20 декабря, приняло решение понизить рейтинг устойчивости ""ПриватБанка"" с ""ссс"" до ""f"".I3";;;;;;;;;;;;
САМАРА, 13 февраля, РИА ФедералПресс. Fitch Ratings подтвердило долгосрочные рейтинги дефолта эмитента Самары на уровне «стабильный», сообщается на сайте агентства.I3;;;;;;;;;;;;
Международное рейтинговое агентство Fitch Ratings в понедельник предупредило о возможном ухудшении суверенного рейтинга Греции, уже относящегося к спекулятивной категории, и приближении к преддефолтному уровню, если кредиторы не договорятся с Афинами о скором выделении очередного транша в рамках третьей программы помощи.I3;;;;;;;;;;;;
Международное рейтинговое агентство Fitch прогнозирует ускорение роста мировой экономики в 2017 году до 2,9%. Об этом сообщает РИА &quot;Новости&quot; со ссылкой на материалы агентства.  &quot;Мы прогнозируем рост на 2,9% по сравнению с ...I3;;;;;;;;;
Международное рейтинговое агентство Fitch отзывает все рейтинги по национальной шкале в России. Решение коснется около полутора сотен публичных рейтингов российских компанийI3;;;;;;;;;;;;
Международное рейтинговое агентство Fitch Ratings пересмотрело прогноз российского энергетического сектора на &quot;стабильный&quot; с &quot;негативного&quot;, что отражает стабильность системы договоров предоставления мощности для генерирующих компаний, несмотря на экономические сложности, а также принимает во внимание постепенное восстановление потребления электроэнергии.I3;;;;;;;;
Кредитные рейтинги банков развивающихся стран будут находиться под давлением в 2017 году даже несмотря на ускорение роста экономик этих стран, говорится в пресс-релизе рейтингового агентства Fitch Ratings.I3;;;;;;;;;;;;
"Банковская система России стабильна, заявил в интервью в программе ""Курс дня"" Александр Данилов, старший директор аналитической группы по финансовым организациям Fitch Ratings. Он отметил, что Банк России продолжает печатать рубли.I1";;;;;;;;;;;;
По мнению экспертов агентства Fitch Ratings, реализация планов избранного президента США Дональда Трампа по снижению налогов может привести к снижению суверенного кредитного рейтинга США из-за еще более серьезного увеличения американского госдолга.I3;;;;;;;;;;;;
По оценкам аналитиков рейтингового агентства Fitch Ratings, крупнейшим нефтяным компаниям Европы для достижения безубыточных показателей в 2017 году необходимо, чтобы котировки нефти марки Brent оставались не ниже 50–60 долларов за баррель.I3;;;;;;;;;;;;
По мнению экспертов рейтингового агентства Fitch Ratings подход избранного президента США Дональда Трампа и его новой администрации к принятию решений будет кардинально отличаться от прежнего ведения дел в Вашингтоне.I3;;;;;;;;;;;;
Консервативная политика банков позволила накопить подушку ликвидности, которая в определенных условиях может провоцировать рост инфляции об этом рассказывает в интервью Александр  Данилов, старший директор аналитической группы по финорганизациям Fitch.I3;;;;;;;;;;;;
Fitch: Прибыли банков РФ в 2017 г хватит для покрытия проблемных кредитовI3;;;;;;;;;;;;
Прибыль большинства банков России до отчислений под обесценение кредитов в 2017 г. должна быть достаточной для покрытия резервами проблемных кредитов без давления на капитал, прогнозирует международное рейтинговое агентство Fitch.I3;;;;;;;;;;;;
Структура распределения акций, сложившаяся в результате сделки по продаже доли в 19,5% в &quot;Роснефти&quot;, абсолютно прозрачна и не вызывает никаких вопросов, говорится в докладе Fitch Ratings.  &quot;Данная сделка стоимостью ...I3;;;;;;;;;
Структура распределения акций, сложившаяся в результате сделки по продаже доли в 19,5% в Роснефти, абсолютно прозрачна и не вызывает никаких вопросов, говорится в докладе Fitch Ratings.  &quot;Данная сделка стоимостью &#x20ac;10,2 млрд ...I3;;;;;;;;;;
Ликвидность - это ресурсы кредитования, но если их держать в Центробанке, как делают кредитные организации, то это может провоцировать инфляцию. Об этом в эксклюзивном интервью напомнил Александр Данилов, старший директор аналитической группы Fitch RatingsI3;;;;;;;;;;;;
Fitch: РФ могла сэкономить 500 млрд руб при ликвидации 30 ныне санируемых банковI3;;;;;;;;;;;;
В рейтинговом агентстве Fitch Ratings отметили сокращение количества стран, чьи долговые обязательства сохраняют наивысший кредитный рейтинг по версии американской компании, до минимального значения с 2003 года.I3;;;;;;;;;;;;
В большинстве случаев стоимость поддержки ЦБ проблемных банков в России значительно превышает стоимость ликвидации, отмечает Fitch Ratings по итогам анализа 30 банков.I3;;;;;;;;;;;;
Высокие запасы и потенциал сланцевого производства нефти в США сдерживают восстановление рынка: цены на нефть могут рухнуть в 2017 г., прежде чем постепенно будут расти в течение следующих нескольких лет до $65 за баррель, сообщил во вторник Fitch Ratings.I3;;;;;;;;;;;;
"Российский иллюстратор Алексей Пашнин представил концепцию дизайна упаковки гелей для душа.   	  	Любите ли вы петь в душе?I1";;;;;;;;;;;;
Покупки произведений искусства для галереи Дарьи Жуковой вышли, по оценкам журнала, дороже возведения Тадж-Махала в пересчете на современные деньги. Свадьба Гуцериева стоившая $1 млрд, заняла последнее место в десятке.I1;;;;;;;;;;;;
Номинанты на премию &quot;Оскар&quot; 2017 года в самых престижных категориях получат более дешевые наборы подарков, чем год назад, пишет Forbes.I2;;;;;;;;;;
<b>На первом месте рейтинга «Яндекс», на втором — Mail.ru</b>.  Российский «Яндекс» стала самой дорогой интернет-компанией по версии журнала Forbes. Mail.Ru Group оказался на второй строчке рейтинга «20 самых дорогих компаний рунета — 2017». «Стоимость...I1;;;;;;;;;;;;
Forbes составил список пяти крупнейших контрагентов «Роснефти». После заключения приватизационной Glencore может стать крупнейшим покупателем сырья наряду с China National United Oil Corporation, подсчитало изданиеI3;;;;;;;;;;;;
Forbes опубликовал рейтинг 12 отраслей российской экономики с самым высоким уровнем оплаты труда.I3;;;;;;;;;;;;
Российский Forbes опубликовал рейтинг отраслей с самыми высокими зарплатами топ-менеджеров. Лидером стала нефтегазовая отрасль, где среднерыночная компенсация руководителям составляет $2,16 млн в годI1;;;;;;;;;;;;
Журнал Forbes второй раз подряд назвал 27-летнего шведского блогера PewDiePie (Феликса Чельберга) самой высокооплачиваемой звездой YouTube.I1;;;;;;;;;;;;
На первом месте оказалась ШвецияI1;;;;;;;;;;;;
В рейтинге предсказуемо лидируют руководители нефтегазовых компаний. Средняя зарплата гендиректоров составила 2,16 млн долларов в год (при курсе рубля 67,7 доллара), это на 7% больше, чем в прошлом году.I3;;;;;;;;;;;;
В рейтинге предсказуемо лидируют руководители нефтегазовых компаний. Средняя зарплата гендиректоров составила 2,16 млн долларов в год (при курсе рубля 67,7 доллара), это на 7% больше, чем в прошлом году. На втором месте - топ-менеджмент предприятий тяжелой промышленности, на третьем - руководители телекоммуникационных компаний.I3;;;;;;;;;;;;
Список второй год подряд возглавил Феликс Шелберг – геймер, известный под ником PewDiePieI1;;;;;;;;;;;;
В банке «Пересвет», основным акционером которого является Русская православная церковь, ранее находились счета спортсменов-олимпийцев, в том числе Алины Кабаевой. Об этом сообщил Forbes со ссылкой на источник в банкеI3;;;;;;;;;;;;
Российский Forbes составил  рейтинг отраслей с самыми высокими зарплатами топ-менеджеров. В число 12 отраслей вошли нефтегазовые компании, тяжелая индустрия, телекоммуникационные компании, коммерческие и инвестиционные банки, торговые сети, страховые и транспортные компании, производители потребительских товаров, строительные компании, агрохолдинги и фармацевтические компании.I3;;;;;;;;;;;;
Его возглавил знаменитый американский баскетболист Майкл ДжорданI1;;;;;;;;;;;;
Шведский геймер Феликс Шелберг, более известный в интернете под псевдонимом PewDiePie, во второй год подряд возглавил список богатейших видеоблогеров мира по версии журнала. Эксперты оценили заработок шведа, на которого подписаны более 50 миллионов человек, в 15 млн долларов в период с июня прошлого года по июнь 2016-го.I1;;;;;;;;;;;;
2017 год будет крайне успешным для России, считает колумнист издания Forbes Ништа Чаг.I1;;;;;;;;;;;;
"Как сообщил журналистам источник в банке, в ""Пересвете"" раньше лежали деньги олимпийской чемпионки по художественной гимнастике Алины Кабаевой, боксера-тяжеловеса Александра Поветкина, волейболистки Екатерины Гамовой.  Кроме того, по словам собеседника издания, клиентами ""Пересвета"" также  были призеры Олимпиад 2000, 2004 и 2008 годов.I3";;;;;;;;;;;;
Как отмечает журнал, в совокупности состояние российских миллиардеров, в том числе связанных в Путиным,  после победы республиканца выросло на 29 млрд долларов. В результате доходы россиян за этот период оказались выше, чем у богатейших граждан других страны мира, за исключением американцев.I4;;;;;;;;;;;;
Президент Российской Федерации Владимир Путин вновь возглавил рейтинг самых влиятельных людей мира по версии журнала Forbes.I1;;;;;;;;;;;;
После нескольких лет экономического спада, вызванного санкциями со стороны западного мира, Россия готова вернуть свою экономику к росту, пишет Forbes.  Издание напоминает, что на днях Минэкономразвития России изменило прогноз для ...I3;;;;;;;;;;;;
Состояние российских миллиардеров увеличилось на $29 млрд с тех пор, как стало известно о победе республиканца Дональда Трампа на президентских выборах в США. Об этом сообщает Forbes.I4;;;;;;;;;;;;
Эксперт Forbes Кеннет Рапоза проанализировал статистические данные прошлого месяца и пришел к выводу, что наибольший интерес иностранных инвесторов сейчас вызывают фонды, ориентированные на российские активы.I3;;;;;;;;;;;;
Совокупное состояние российских миллиардеров увеличилось на $29 млрд после победы Дональда Трампа на выборах президента США. Об этом пишет Forbes.  По данным издания, этот рост связан с укреплением рубля и ростом стоимости российских ...I4;;;;;;;;;;;;
Киев опасается серьезных проблем, которые могут возникнуть в экономике, в случае запуска газопровода, поскольку доходы за транзит российской нефти через территорию Украины составляют не менее 10% бюджета этой страны.I3;;;;;;;;;;;;
Ни цены на нефть, ни жесткие санкции – не смогли оказать на Россию эффекта, который бы удовлетворил западных политиков.I3;;;;;;;;;;;;
Совместное автомобилестроительное предприятие Ford и российского автопроизводителя «Соллерс» — Ford Sollers – уже в первые месяцы 2017 года начнет на российском рынке продажи автомобилей Transit Custom и Tourneo Custom.I3;;;;;;;;;;;;
Компания Ford возместит властям мексиканского штата Сан-Луис-Потоси все их расходы на проект завода, от строительства которого американский автопроизводитель отказался. Об этом сообщило во вторник правительство региона.I3;;;;;;;;;;;;
     Ford инвестирует $1 млрд в стартап по разработке беспилотных автомобилей Argo AI, сообщает пресс-служба автоконцерна.I1;;;;;;;;;;;;
<b>История утраченного успеха</b>.  Ровно 103 года назад, 14 января 1914 года, Генри Форд впервые в мире использовал конвейерный метод для массовой сборки автомобилей. Отец автомобильной промышленности, как стали его называть впоследствии, еще с юного возраста осуществлял попытки...I1;;;;;;;;;;;;
Компания Ford не планирует сокращать инвестиции в России, сообщает Reuters со ссылкой на президента Ford Sollers Марка Овендена.I3;;;;;;;;;;;;
Компания Ford Motor отказалась строить завод в Мексике после критики Дональда Трампа в адрес ее американского конкурента – General MotorsI3;;;;;;;;;;;;
Из-за неисправностей замка рулевой колонки под отзыв попало более 1300 автомобилей Ford EcoSport с октября 2014 по апрель 2016 года. Это почти каждый восьмой автомобиль этой модели, проданный в России за все времяI3;;;;;;;;;;;;
Американская Ford Motor планирует инвестировать $1 млрд в следующие пять лет в новую компанию Argo AI, которая занимается разработкой искусственного интеллекта.I1;;;;;;;;;;;;
Ford Motor намерен инвестировать $ 1 млрд в компанию Argo AI, занимающуюся разработкой системы «виртуальный водитель» для беспилотных транспортных средств, сообщает Bloomberg.I1;;;;;;;;;;;;
<b>При определенных условиях в автомобиле не срабатывает блокировка руля</b>.  Компания Ford начала акцию по отзыву 1,32 тыс. автомобилей Ecosport, реализованных на территории России. В кроссоверах был обнаружен дефект, из-за которого безопасность транспортного средства снижается...I3;;;;;;;;;;;;
Компания Ford Motor отказалась строить завод в Мексике после критики избранного президента США Дональда Трампа в адрес ее американского конкурента — General...I3;;;;;;;;;;;;
Избранный президент США Дональд Трамп упрекнул американских производителей в том, что те собирают машины в Мексике, а затем -беспошлинно завозят их продавать в Штаты. И дал понять: после прихода в Белый Дом может ввести ввозные пошлины.I3;;;;;;;;;;;;
Девелопер Fort Group продает 99% акций газеты «Деловой Петербург» главному редактору Максиму Васюкову с рассрочкой. Как сообщает Фонтанка.Ру со ссылкой на управляющего партнера Fort Group Максима Левченко, 99% акций ДП, принадлежащих Fort Group, будут проданы главному редактору газеты с рассрочкой. Он также напомнил, что 20% издания остаются у шведской Bonnier Business Press, вынужденной в конце 2015-го года продать большую часть своих акций после изменений в российском законодательстве. Именно тогда Fort Group и вошел в «Деловой Петербург». Левченко также отметил, что с точки зрения бизнеса газета успешна. «В 2016-м прибыль ДП выросла на сто процентов по сравнению с минувшим годом», — уточнил бизнесмен, объяснив при этом причину продажи акций издания  «Самое простое объяснение: мы продаем ДП, устав отбиваться от звонков тех, кто не хочет, чтобы „Деловой Петербург“ писал о них плохо, перетряхивал публично грязное белье и рассказывал всю правду, которая не всегда оказывается приглядной. Принимая решение о продаже ДП, мы преследовали единственную цель: сохранить независимость уникального медиа от любых посягательств. В том числе, и наших собственных», — пояснил управляющий партнер Fort Group. Напомним, в декабре 2015 года руководство «Делового Петербурга» официально объявило, что новым владельцем 80% акций издания станет глава одного из крупнейших собственников торговой недвижимости в городе Fort Group Максим Левченко. Сумма сделки официально не разглашалась.I3;;;;;;;;;;;;
Foxconn Technology Group рассматривает возможность строительства завода по производству дисплеев в США в рамках совместного предприятия с Apple Inc. В результате может быть создано до 50 тыс. рабочих мест, заявил глава тайваньской компании Терри Гу.I1;;;;;;;;;;;;
Решение премьер-министра Индии Нарендры Моди изъять из обращения в стране значительную часть наличных денег (так называемая демонетизация) уже повлияло на индийскую экономику.I3;;;;;;;;;;;;
В российской экономике настала оттепель: вопреки санкциям крупнейшие международные корпорации увеличивают присутствие на российских рынках, а объем прямых иностранных инвестиций продолжает расти, пишет немецкое издание Frankfurter Allgemeine Zeitung.I1;;;;;;;;;;;;
Если избранный президент Дональд Трамп выполнит обещание снизить налогиI3;;;;;;;;;;;;
Некоммерческая организация Freedom House оценила уровень свободы в России в 20 балла из 100 возможных. В этом году РФ набрала 20 баллов из 100 по шкале, где 0 означает полную замкнутость, а 100 – полную открытость.    Исследователи разделили страны на три группы: «свободные», «частично свободные» и «несвободные». К третьей категории отнесли Россию, Афганистан, Азербайджан, Беларусь, Иран, Казахстан, Таджикистан, Туркмению и Узбекистан.    В категории «политические права» Россия набрала 7 баллов, «гражданские свободы» - 6,5. В системе оценок Freedom House 1 соответствует полной свободе, а 7 – несвободе.  СМИ и интернет-пространство признаны полностью несвободными.    Авторы доклада отметили, что в 2016 году российские власти усилили контроль над медиасредой, насыщая информационное поле националистической пропагандой и подавляя независимые СМИ. Внимание Freedom House привлекла ситуация с «разгоном» редакции РБК, которую исследователи связали с публикацией материала о предполагаемой дочери Путина.      Напомним, в прошлом году Россия набрала 22 балла по шкале свободы. В декабре 2015 года Freedom House зафиксировала понижение позиций России и в рейтинге интернет-свободы.I3;;;;;;;;;;;;
«Марин Ле Пен обещает «фрекзит» после «брекзита», — бьет наповал заголовком британская The Daily Express.I3;;;;;;;;;;;;
Соглашение по ограничению добычи нефти указывает на формирующийся энергетический альянс между Россией и Саудовской Аравией, который может повлиять на нефтяной рынок, утверждает Financial Times.I3;;;;;;;;;;;;
"&quot;Детский мир&quot; собирается провести IPO (первичное публичное размещение акций. - &quot;Газета.Ru&quot;) на Московской бирже в ближайшие несколько недель. Об этом сообщает Financial Times со ссылкой на источник.   В издании заявили, ...I3";;;;;;;;;;;;
Королевский банк Шотландии (Royal Bank of Scotland, RBS) провалил ежегодный стресс-тест Великобритании и занял самое низкое место среди участников. Об этом пишет Financial Times.  Как рассказали специалисты, провал теста RBS отчасти вызван ...I3;;;;;;;;;;;;
"По сведениям FT, в IPO намерены принять участие Goldman Sachs, Credit Suisse и Morgan Stanley. В свою очередь представители &amp;quot;Детского мира&amp;quot; подтвердили намерение ритейлера провести IPO. Ранее сообщалось, что &amp;quot;Детский мир&amp;quot; присматривается к IPO.I3";;;;;;;;;;;;
Более 1 тыс. банковских подразделений были закрыты в Великобритании за два года из-за роста популярности мобильного банкинга, а также необходимости снижения расходов. Об этом пишет Financial Times.  Как стало известно, HSBC с начала 2015 ...I5;;;;;;;;;;;;
Рост цен на энергоносители помогает экономической стабилизации России, но отсутствие необходимых реформ и инвестиций замедляют восстановление экономики. К такому выводу пришли Financial Times.I3;;;;;;;;;;;;
<b>Пока Евросоюз отказывается от любых переговоров с Лондоном, касающихся торговли</b>.  Пока Великобритания не продвинется в вопросе выхода из Европейского союза, ЕС не планирует обсуждать с Соединенным Королевством торговое соглашение. Такое положение дел может сохраниться вплоть до 25...I3;;;;;;;;;;;;
Дочь президента США Дональда Трампа Иванка была доверенным лицом при распоряжении ценными бумагами, принадлежавшими двум дочерям медиамагната Руперта Мердока, в его корпорации News Corp и холдинге 21st Century Fox. Об этом пишет Financial ...I3;;;;;;;;;;;;
Глава Европейского центрального банка (ЕЦБ) Марио Драги заявил, что регулятор намерен продолжить программу по количественному смягчению. Об этом пишет Financial Times.  &quot;Если прогноз по инфляции будет менее положительным, то ЕЦБ готов ...I3;;;;;;;;;;;
Дочь президента США Дональда Трампа Иванка была доверенным лицом при распоряжении ценными бумагами, принадлежавшими двум дочерям медиамагната Руперта Мердока, в его корпорации News Corp и холдинге 21st Century Fox.I3;;;;;;;;;;;;
Американское издательство Time отклонило предложение владельца Warner Music Group Лена Блаватника о приобретении компании за $1,8 млрд, пишет Financial Times со ссылкой на источники.  Помимо Блаватника возможными покупателями выступили ...I3;;;;;;;;;;;;
Италия обратилась с просьбой к Европейскому центральному банку с просьбой предоставить больше времени для спасения банка Monte dei Paschi di Siena, пишет Financial Times, ссылаясь на источники, близкие к переговорам.  Сообщается, что ...I3;;;;;;;;;;;;
Китай уступил США статус крупнейшего держателя американских облигаций Японии, используя большую часть своих валютных резервов для поддержания курса юаня. Об этом пишет Financial Times.  По данным министерства финансов США, в октябре Пекин ...I3;;;;;;;;;;;;
Курс биткоина достиг своего максимума с 2014 года, пишет газета Financial Times.  Как стало известно, на азиатских торговых площадках стоимость биткоина достигла $788,49 - максимума с 6 февраля 2014 года.  &quot;Возрастающие опасения по ...I4;;;;;;;;;;;
Согласно данным Hedge Fund Research объем активов хедж-фондов впервые превысил отметку в $3 трлн, пишет Financial Times.  &quot;Рост (активов хедж-фондов. &#x2014; &quot;Газета.Ru&quot;) случился вопреки целой серии вывода активов ...I4;;;;;;;;
"Сделка достигла своих основных целей: акции ""Роснефти"" проданы в установленный Кремлем срок и деньги переведены в госбюджет. Однако доверие инвесторов может и не получить особого подкрепления от такой сложной и мутной сделки, как продажа акций ""Роснефти"", полагает издание.I3";;;;;;;;;;;;
<b>Эр-Рияд сам не хочет принимать участие в переговорах и в принципе подвергает сомнению необходимость этого мероприятия для других стран</b>.  Несмотря на все усилия, члены Организации стран-экспортеров нефти (ОПЕК) так и не смогли договориться между собой насчет соглашения о заморозке...I3;;;;;;;;;;;;
Председатель КНР Си Цзиньпин намерен посетить Всемирный экономический форум в Давосе, который станет для китайского лидера первым подобным мероприятием. Об этом пишет Financial Times со ссылкой на источники.   Как стало известно, поездка ...I3;;;;;;;;;;;;
Глава Национального совета по торговле США Петер Наварро заявил, что власти Германии используют &quot;сильно заниженный курс&quot; евро для использования США и их партнеров по Европейскому союзу в своих интересах, пишет Financial Times. ...I3;;;;;;;;;;
Первый за последние 15 лет глобальный договор по сокращению объемов добычи нефти демонстрирует укрепляющийся энергетический альянс Саудовской Аравии и России, пишет The Financial Times.  Как отмечает издание, соглашение последовало после ...I1;;;;;;;;;;;;
Первый за последние 15 лет глобальный договор по сокращению объемов добычи нефти демонстрирует укрепляющийся энергетический альянс Саудовской Аравии и России, пишет Financial Times.  Как отмечает издание, соглашение последовало после года ...I1;;;;;;;;;;;;
Власти Экваториальной Гвинеи на прошлой неделе арестовали трех руководителей банка Societe General - двух французов и испанца, обвинив их в &quot;банковском шпионаже&quot;, пишет Financial Times.  Издание сообщает, что руководителям банка ...I2;;;;;;;;;;
Fujifilm Holdings достигла соглашения о приобретении 70%-ной доли акций химкомпании Wako Pure Chemical Industries за 198,5 млрд иен ($1,7 млрд) у фармкомпании Takeda Pharmaceutical, говорится в пресс-релизе Fuji.I3;;;;;;;;;;;;
<b>В настоящее время число сотрудников компании составляет около 4,5 тыс. человек</b>.  Совместное предприятие Fоrd Sollers, подразделения которого находятся в Москве, Ленинградской области и Татарии, приступает к реализации программы добровольного ухода. Для сотрудников, покидающих...I3;;;;;;;;;;;;
Итальянская макаронная фабрика Garofalo представила новый продукт - равиоли с разной начинкой. Всего в ассортименте пока четыре разновидности. Дизайн упаковки разработали специалисты студии Rossoamaranto. Дизайн отличается лаконичностью и четкостью. Горизонтальная полоса упорядочивает, черный фон и название бренда от руки ассоциируется с премиальностью. На лицевой стороне упаковки - вся необходимая информация, но ничего лишнего.I1;;;;;;;;;;;;
Исследовательская компания Gartner Inc., специализирующаяся на исследованиях рынка информационных технологий, достигла соглашения о приобретении консалтинговой группу CEB Inc. за $2,6 млрд, сообщается в пресс-релизе Gartner.I3;;;;;;;;;;;;
"Французская компания Gebo Cermex, один из ведущих производителей техники для упаковочных линий, получила официальный знак “Vitrine Industrie du Futur"" («Витрина промышленности будущего»), присуждаемый  АльянсомI1";;;;;;;;;;;;
Geely объявила российские цены на седан Emgrand GT, который построен на платформе Volvo S80 образца 2006 года. Дилеры марки начали прием заказов на модель.I1;;;;;;;;;;;;
Gelandewagen AMG пытался проскочить перекресток Пискаревского проспекта и Бестужевской улицы на красный в ночь на 18 декабря иI3;;;;;;;;;;;;
Американская автомобилестроительная корпорация General Motors намерена инвестировать в свои заводы в США по меньшей мере $1 млрд и дополнительно создать около 1 тыс. рабочих мест, сообщает The Wall Street Journal со ссылкой на источники.I1;;;;;;;;;;;;
